"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1482","verify product list page: name + price","chromium","2026-01-29","failed","2026-01-29","@product @intentionally-failing Data-driven - verify product list vs detail (name/price/desc)","products.data-driven.detail-assert.spec.js","",""
"","2072","@product @intentionally-failing verify product detail page: name + price + description","chromium","2026-01-29","failed","2026-01-29","@product @intentionally-failing Data-driven - verify product list vs detail (name/price/desc)","products.data-driven.detail-assert.spec.js","",""
"","923","verify all products by name and price","chromium","2026-01-29","failed","2026-01-29","@demo @intentionally-failing Data-driven - verify product name + price","products.data-driven.spec.js","",""
