"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","624","attach example (allure)","chromium","2026-01-29","passed","2026-01-29","","allure.spec.js","",""
"","727","attach example (recommended)","chromium","2026-01-29","passed","2026-01-29","","allure.spec.js","",""
"","756","should login, list products, add/remove cart item, verify cart UI","chromium","2026-01-29","passed","2026-01-29","@demo SauceDemo - Login + Cart flow (POM)","saucedemo.spec.js","",""
