"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","804","@allure attach example (use modern way)","chromium","2026-01-29","passed","2026-01-29","","allure.spec.js","",""
"","1188","should login, list products, add/remove cart item, verify cart UI","chromium","2026-01-29","passed","2026-01-29","SauceDemo - Login + Cart flow (POM)","saucedemo.spec.js","",""
"","1446","verify all products by name and price","chromium","2026-01-29","failed","2026-01-29","@demo @intentionally-failing Data-driven - verify product name + price","products.data-driven.spec.js","",""
"","1235","explore products detail pages, go back, then add to cart","chromium","2026-01-29","passed","2026-01-29","@explore @cart Simulate shopping behavior - explore details then add to cart","shopping.explore.spec.js","",""
"","1919","verify product list page: name + price","chromium","2026-01-29","failed","2026-01-29","@product @intentionally-failing Data-driven - verify product list vs detail (name/price/desc)","products.data-driven.detail-assert.spec.js","",""
"","2404","@product @intentionally-failing verify product detail page: name + price + description","chromium","2026-01-29","failed","2026-01-29","@product @intentionally-failing Data-driven - verify product list vs detail (name/price/desc)","products.data-driven.detail-assert.spec.js","",""
"","882","@allure attach example (using deprecated allure api)","chromium","2026-01-29","passed","2026-01-29","","allure.spec.js","",""
